cruise,cast,niskin,date,latitude,longitude,depth,sample_id,replicate,nitrate_nitrite,ammonium,phosphate,silicate,alternate_sample_id,project_id,nearest_station,station_distance
EN617,2,1,2018-07-20 23:01:46+00:00,41.03118,-70.88,42.067,579,a,2.075304359463737,1.0458037351368563,0.7934440842787683,11.590425260663507,,LTER,L2,0.30690175623497984
EN617,2,1,2018-07-20 23:01:46+00:00,41.03118,-70.88,42.067,580,b,1.9641450633088169,1.0099476070750213,0.7758119935170179,11.617358056872034,,LTER,L2,0.30690175623497984
EN617,2,3,2018-07-20 23:04:29+00:00,41.03152,-70.8796,24.136999999999997,581,a,1.0312009705800205,0.4342575509711136,0.5206652683763944,7.334007582938387,,LTER,L2,0.35399448090941005
EN617,2,3,2018-07-20 23:04:29+00:00,41.03152,-70.8796,24.136999999999997,582,b,1.0396371671632063,0.4237995136197451,0.568375631614072,7.358868625592416,,LTER,L2,0.35399448090941005
EN617,2,11,2018-07-20 23:07:16+00:00,41.03182,-70.87921999999999,20.104,583,a,0.8515596080439438,0.3227051525565157,0.541408904566689,7.645806492890994,,LTER,L2,0.3982178102351806
EN617,2,11,2018-07-20 23:07:16+00:00,41.03182,-70.87921999999999,20.104,584,b,0.8505671143282749,0.334657195243794,0.5621525407569836,7.647878246445497,,LTER,L2,0.3982178102351806
EN617,2,12,2018-07-20 23:09:22+00:00,41.03199,-70.87895999999999,9.997,585,a,0.0,0.0,0.14624263514157693,2.547738933649289,,LTER,L2,0.4266702568122408
EN617,2,12,2018-07-20 23:09:22+00:00,41.03199,-70.87895999999999,9.997,586,b,0.0,0.0,0.14105672609400327,2.584512559241706,,LTER,L2,0.4266702568122408
EN617,2,16,2018-07-20 23:12:37+00:00,41.03232,-70.87858,3.22,587,a,0.0,0.0,0.16491190771284206,2.5617232701421804,,LTER,L2,0.47321867340043505
EN617,2,16,2018-07-20 23:12:37+00:00,41.03232,-70.87858,3.22,588,b,0.0,0.0,0.15557727142720948,2.5389339810426543,,LTER,L2,0.47321867340043505
EN617,5,2,2018-07-21 06:47:55+00:00,40.86422,-70.8848,51.623999999999995,589,a,3.0519181756819664,0.5353519120343431,0.7115067213271047,9.690109312796206,,LTER,L3,0.1625756467097971
EN617,5,2,2018-07-21 06:47:55+00:00,40.86422,-70.8848,51.623999999999995,590,b,3.0310758076529187,0.5587579956302633,0.7021720850414721,9.710308909952607,,LTER,L3,0.1625756467097971
EN617,5,4,2018-07-21 06:51:04+00:00,40.86436,-70.88554,30.186,591,a,2.255938215715483,0.2858530209374073,0.5953423586614549,6.81917682464455,,LTER,L3,0.22253324933335836
EN617,5,4,2018-07-21 06:51:04+00:00,40.86436,-70.88554,30.186,592,b,2.3164803323712877,0.327187168564245,0.6000096768042712,6.83316116113744,,LTER,L3,0.22253324933335836
EN617,5,6,2018-07-21 06:53:47+00:00,40.864470000000004,-70.8862,25.186999999999998,593,a,0.2431609603388884,0.0,0.4138355419963772,4.6541943601895746,,LTER,L3,0.27687320806601307
EN617,5,6,2018-07-21 06:53:47+00:00,40.864470000000004,-70.8862,25.186999999999998,594,b,0.2322435294665301,0.0,0.4127983601868625,4.650050853080568,,LTER,L3,0.27687320806601307
EN617,5,10,2018-07-21 06:57:26+00:00,40.8647,-70.88704,14.252,595,a,0.0,0.0,0.191878634760225,2.4519203317535543,,LTER,L3,0.35155769898356587
